longitude,latitude,year,month,day,hour,minute,second,magnitude,depth
33.1,40.83,1908,3,12,19,32,0.0,5.2,10.0
37.8,40.2,1909,2,9,11,24,0.0,6.4,10.0
37.76,40.17,1909,2,9,14,38,0.0,5.9,10.0
37.76,40.17,1909,2,10,19,49,0.0,5.7,10.0
38.0,40.15,1909,2,19,10,1,0.0,5.2,10.0
37.58,40.21,1909,2,22,14,14,0.0,5.8,10.0
40.65,39.37,1909,3,5,12,17,0.0,5.4,10.0
37.8,40.15,1909,4,5,0,0,0.0,5.0,10.0
26.15,40.5,1909,7,19,17,46,0.0,5.4,10.0
29.64,40.26,1909,10,29,17,38,0.0,5.9,10.0
34.6,40.9,1910,5,21,7,46,0.0,5.5,10.0
34.56,40.88,1910,6,25,19,26,0.0,6.1,10.0
36.9,40.4,1910,8,1,22,14,0.0,5.4,10.0
34.5,40.7,1910,8,5,2,30,0.0,5.2,10.0
30.35,40.7,1911,3,18,18,45,0.0,4.8,10.0
27.2,40.7,1912,8,9,1,28,0.0,7.32,14.1
27.2,40.75,1912,8,9,4,25,0.0,5.0,10.0
27.2,40.75,1912,8,10,9,22,0.0,6.2,10.0
27.2,40.75,1912,8,10,18,30,0.0,5.5,10.0
27.2,40.75,1912,8,11,7,19,0.0,5.2,10.0
27.2,40.6,1912,8,11,8,19,44.0,5.4,30.0
27.0,40.7,1912,9,13,23,31,0.0,6.85,11.0
27.0,40.7,1912,9,16,21,5,0.0,5.5,10.0
27.08,40.7,1912,10,21,9,30,0.0,5.0,10.0
27.0,40.5,1912,10,21,23,40,0.0,5.2,15.0
27.55,40.8,1913,4,24,17,0,0.0,5.2,10.0
41.08,39.4,1913,12,9,2,30,0.0,5.5,10.0
36.5,39.5,1914,5,18,10,44,0.0,5.4,10.0
36.83,40.27,1916,1,24,6,55,0.0,7.01,10.0
27.1,40.6,1917,4,10,19,40,18.0,5.5,15.0
34.5,40.1,1917,8,7,3,49,20.0,5.2,33.0
25.4,40.3,1917,8,20,23,2,9.0,5.7,0.0
25.5,40.5,1918,4,17,14,20,25.0,4.9,0.0
25.5,40.5,1918,4,17,20,7,0.0,4.9,0.0
33.41,40.89,1918,8,9,0,39,10.0,5.9,10.0
33.89,40.68,1919,6,9,15,47,17.0,5.4,10.0
36.43,40.07,1923,4,29,9,34,41.0,6.0,10.0
34.41,41.02,1923,8,16,3,52,0.0,5.5,40.0
37.0,40.0,1924,7,31,13,13,42.0,5.2,33.0
29.2,40.9,1924,9,1,0,0,0.0,5.0,15.0
30.39,40.88,1925,6,24,0,0,34.0,5.1,10.0
41.0,40.5,1926,6,25,23,19,0.0,5.3,33.0
26.8,40.8,1928,5,3,1,25,13.0,5.0,4.0
37.9,40.2,1929,5,18,6,37,54.0,6.1,10.0
37.9,40.2,1929,5,19,6,33,18.0,5.1,10.0
37.9,40.2,1929,6,28,22,18,44.0,5.1,10.0
38.76,40.25,1929,9,15,13,10,15.0,5.4,50.0
39.26,39.55,1930,4,9,5,27,48.0,5.4,10.0
39.35,39.37,1930,4,20,10,20,43.0,5.3,10.0
39.24,39.72,1930,12,10,10,31,29.0,5.7,30.0
30.6,40.9,1932,10,15,22,19,54.0,5.1,10.0
33.96,40.71,1933,5,26,23,54,45.4,5.2,10.0
36.56,40.31,1934,2,25,16,26,29.0,5.1,10.0
27.5,40.25,1935,1,4,14,41,23.0,6.2,35.0
27.5,40.5,1935,1,4,15,18,57.0,5.1,5.0
27.5,40.5,1935,1,4,15,19,24.0,5.1,5.0
27.5,40.25,1935,1,4,16,20,0.0,6.0,35.0
40.52,39.35,1935,10,13,19,32,22.0,5.4,40.0
27.21,40.31,1935,10,22,7,29,43.0,5.5,10.0
33.6,40.8,1935,12,1,0,0,0.0,5.2,33.0
33.73,40.9,1938,5,31,17,55,22.0,5.4,10.0
33.5,41.0,1938,5,31,18,3,11.0,5.3,30.0
40.1,39.8,1939,11,21,8,49,0.0,5.82,10.0
39.51,39.8,1939,12,26,23,57,21.0,7.6,20.0
38.14,39.99,1939,12,27,2,48,34.0,5.6,50.0
37.0,40.47,1939,12,28,3,25,28.0,5.8,40.0
39.27,39.89,1939,12,29,11,33,36.0,5.3,10.0
39.55,39.7,1939,12,29,13,18,17.0,5.2,10.0
38.48,40.45,1940,1,26,20,56,4.0,5.2,10.0
33.0,41.0,1940,2,1,5,12,56.0,5.3,30.0
38.1,39.6,1940,2,2,15,46,21.0,5.1,30.0
35.2,40.04,1940,4,13,6,29,15.0,5.7,30.0
39.89,39.62,1940,4,22,12,20,43.0,5.5,20.0
37.82,40.06,1940,6,7,19,49,28.0,5.1,10.0
33.3,40.81,1940,10,11,1,37,12.0,5.3,10.0
35.5,40.0,1941,4,27,13,1,0.0,5.7,35.0
39.7,39.7,1941,11,8,12,16,0.0,5.6,10.0
27.8,40.8,1942,6,16,5,42,34.0,5.7,20.0
34.88,41.04,1942,12,2,19,4,27.0,5.6,20.0
34.83,40.76,1942,12,11,2,39,18.0,6.0,40.0
36.47,40.87,1942,12,20,14,3,8.0,6.9,10.0
30.51,40.85,1943,6,20,15,32,54.0,6.5,10.0
30.73,40.84,1943,6,20,16,47,57.0,5.6,10.0
30.4,40.7,1943,9,8,13,35,0.0,4.8,5.0
33.72,41.05,1943,11,26,22,20,41.0,7.0,10.0
33.7,41.0,1943,11,27,6,6,0.0,5.2,10.0
33.7,41.0,1943,11,27,8,9,0.0,5.2,10.0
33.93,40.78,1943,11,27,23,29,37.0,5.3,40.0
33.7,41.0,1944,1,2,10,59,0.0,5.4,10.0
32.6,40.9,1944,2,1,3,22,36.0,7.1,10.0
31.27,40.7,1944,2,1,6,8,52.0,5.4,10.0
31.44,40.74,1944,2,2,3,33,17.0,5.4,40.0
32.3,41.0,1944,2,10,12,5,27.0,5.5,10.0
34.87,41.11,1944,9,30,4,13,19.0,5.6,10.0
33.47,40.89,1944,10,18,12,54,5.0,5.5,10.0
40.79,39.96,1947,7,27,20,9,15.0,5.3,40.0
32.82,40.71,1947,12,19,17,31,17.0,5.3,10.0
32.71,40.94,1949,5,13,20,14,7.0,5.4,20.0
40.7,39.4,1949,8,17,18,17,0.0,6.77,34.0
40.6,39.6,1949,8,17,20,38,0.0,5.5,10.0
40.98,39.42,1949,8,23,13,40,44.0,5.2,10.0
40.6,39.6,1949,8,29,0,19,0.0,5.2,10.0
40.6,39.5,1950,2,4,9,30,52.0,5.3,10.0
38.3,39.8,1951,5,8,13,28,0.0,5.2,10.0
32.87,40.88,1951,8,13,18,33,34.0,6.8,10.0
33.18,41.08,1951,8,14,18,46,7.0,5.3,40.0
33.23,40.82,1951,8,14,20,23,12.0,5.2,10.0
25.6,40.2,1951,12,13,20,46,1.0,5.1,0.0
30.4,40.8,1952,1,22,23,15,0.0,5.0,15.0
25.4,40.3,1952,2,3,20,44,50.0,5.0,0.0
25.4,40.3,1952,2,17,20,4,7.0,4.5,0.0
28.53,40.28,1953,6,3,16,5,31.0,5.5,20.0
33.01,41.09,1953,9,7,3,59,4.0,6.0,40.0
38.37,40.02,1953,10,8,10,26,59.0,5.3,10.0
41.08,39.61,1953,12,15,16,40,27.0,5.1,40.0
27.12,40.58,1954,3,23,12,58,53.0,5.4,10.0
25.0,40.2,1954,8,4,1,12,36.0,4.7,0.0
40.0,40.0,1954,10,24,0,44,36.0,5.1,30.0
27.53,40.46,1954,10,24,23,37,19.0,5.2,10.0
27.52,40.56,1954,10,26,10,34,29.0,5.1,10.0
40.03,40.25,1954,11,7,22,52,56.0,5.1,20.0
25.8,40.4,1955,6,2,23,34,33.0,5.5,0.0
33.33,41.11,1955,6,26,21,12,35.0,5.1,10.0
26.29,40.39,1956,1,6,12,15,45.0,5.6,10.0
30.9,40.32,1956,7,14,19,1,7.0,5.1,40.0
40.1,40.1,1957,2,22,7,57,39.0,4.63,15.0
31.0,40.6,1957,5,26,6,33,0.0,7.18,27.0
30.74,40.6,1957,5,26,8,54,51.0,5.6,40.0
30.81,40.76,1957,5,26,9,36,39.0,6.0,10.0
30.53,40.58,1957,5,28,0,9,54.0,5.2,50.0
30.77,40.83,1957,5,29,10,17,48.0,5.3,20.0
31.78,40.62,1957,5,30,13,7,57.0,4.9,10.0
31.24,40.65,1957,5,30,14,29,52.0,4.9,10.0
30.86,40.75,1957,6,1,5,26,59.0,5.4,50.0
30.84,40.68,1957,6,1,21,8,20.0,5.2,40.0
30.78,40.71,1957,6,2,1,12,1.0,5.2,10.0
34.02,40.75,1957,9,21,20,16,59.0,5.4,40.0
29.72,40.83,1957,12,26,15,1,45.0,5.5,10.0
40.8,39.8,1958,2,13,7,51,52.0,4.63,20.0
33.36,40.65,1958,5,21,10,13,1.0,5.1,10.0
30.69,40.49,1958,11,23,13,7,38.0,5.0,10.0
29.41,40.5,1959,4,2,4,34,29.0,5.1,20.0
27.54,40.91,1959,7,26,17,7,6.0,5.6,10.0
29.2,40.4,1959,8,6,12,8,0.0,4.8,10.0
38.75,39.75,1959,12,13,2,7,54.0,5.1,10.0
38.75,40.19,1960,1,26,9,52,15.0,6.0,20.0
26.5,40.5,1960,3,9,8,35,0.0,4.8,10.0
37.25,40.56,1960,7,26,12,36,23.0,5.1,40.0
40.82,39.69,1961,11,1,8,58,45.0,5.1,20.0
36.1,40.8,1962,4,1,1,39,22.0,5.2,10.0
28.84,40.75,1962,4,19,8,22,19.0,5.0,10.0
25.5,40.4,1962,9,29,8,23,11.0,4.5,0.0
26.15,40.29,1963,3,29,3,9,18.0,5.4,50.0
29.12,40.77,1963,9,18,16,58,15.0,6.3,40.0
28.9,40.84,1963,9,24,2,10,44.0,5.2,10.0
40.34,39.85,1964,2,24,11,32,20.0,4.6,57.0
32.83,40.74,1964,6,19,0,50,24.0,4.9,33.0
41.02,40.25,1964,8,21,16,49,10.0,4.7,20.0
40.28,39.4,1964,9,4,3,39,36.0,5.0,54.0
28.153,40.186,1964,10,6,14,29,59.0,5.6,28.1
28.36,40.19,1964,10,7,23,7,54.0,4.6,31.0
29.0,40.5,1964,10,19,14,6,50.0,4.2,10.0
40.399,39.425,1964,11,16,5,27,27.0,5.1,10.1
28.06,40.2,1964,11,20,6,59,19.0,4.6,56.0
36.5,39.5,1964,12,15,7,0,0.0,4.6,30.0
27.5,40.5,1964,12,21,0,50,10.0,4.8,10.0
26.136,40.436,1965,8,23,14,8,57.0,5.4,16.0
26.2,40.2,1965,8,23,23,43,52.0,4.7,10.0
26.2,40.39,1965,8,24,23,57,35.0,4.4,18.0
40.792,39.346,1965,8,31,7,29,47.0,5.3,5.6
26.2,40.2,1965,9,8,4,26,35.0,4.8,10.0
26.2,40.2,1965,9,9,0,3,4.0,4.6,10.0
38.3,40.2,1966,3,8,2,51,36.0,4.6,22.0
40.9,39.4,1966,8,20,11,59,0.0,5.9,6.0
27.436,40.312,1966,8,21,1,30,45.0,5.0,16.6
40.97,39.32,1966,8,23,1,35,45.0,4.8,30.0
33.56,41.09,1966,12,10,17,8,33.0,5.5,13.0
30.74,40.74,1966,12,30,1,57,9.0,4.4,31.0
26.2,40.32,1967,4,4,3,47,17.0,4.7,32.0
26.0,40.31,1967,4,4,9,48,33.0,4.6,10.0
33.9,40.82,1967,6,22,7,25,1.0,4.9,17.0
33.7,40.88,1967,6,22,10,24,42.0,4.8,33.0
33.6,40.83,1967,6,22,12,18,53.0,4.9,13.0
33.65,40.85,1967,6,23,10,6,55.0,5.4,20.0
30.7,40.7,1967,7,22,16,57,0.0,7.22,10.0
30.8,40.7,1967,7,22,17,14,10.0,5.4,6.0
30.8,40.7,1967,7,22,17,18,54.0,4.9,10.0
30.53,40.73,1967,7,22,17,30,7.0,5.0,10.0
30.62,40.66,1967,7,22,17,48,6.0,5.4,26.0
30.8,40.7,1967,7,22,18,4,42.0,4.1,10.0
30.8,40.7,1967,7,22,18,8,36.0,4.9,10.0
30.555,40.748,1967,7,22,18,9,57.0,5.3,37.3
30.8,40.7,1967,7,22,18,13,36.0,4.9,10.0
30.42,40.79,1967,7,22,20,35,40.0,4.9,4.0
30.52,40.8,1967,7,22,22,8,35.0,4.7,40.0
30.53,40.64,1967,7,22,23,42,0.0,4.9,30.0
30.544,40.655,1967,7,22,23,42,2.0,5.0,35.3
30.5,40.55,1967,7,23,0,30,0.9,4.2,46.0
30.57,40.7,1967,7,23,2,7,48.0,4.4,10.0
30.57,40.7,1967,7,23,2,25,37.0,4.3,33.0
30.35,40.61,1967,7,23,4,3,39.0,4.7,21.0
30.36,40.63,1967,7,23,4,48,55.0,4.8,33.0
30.36,40.74,1967,7,23,7,42,23.0,4.3,11.0
30.3,40.4,1967,7,23,10,3,8.0,4.4,33.0
30.8,40.7,1967,7,23,10,6,12.0,4.1,10.0
30.59,40.63,1967,7,23,15,57,9.0,4.6,23.0
30.45,40.78,1967,7,23,23,6,59.0,4.4,17.0
30.63,40.61,1967,7,23,23,19,14.0,4.5,15.0
30.52,40.64,1967,7,24,3,40,21.0,4.5,4.0
30.7,40.58,1967,7,24,8,7,33.0,4.5,10.0
30.8,40.7,1967,7,24,11,22,36.0,4.5,10.0
30.8,40.7,1967,7,25,11,22,36.0,4.5,10.0
30.8,40.7,1967,7,26,5,59,6.0,4.8,10.0
30.67,40.61,1967,7,26,9,16,6.0,4.7,21.0
40.3,39.5,1967,7,26,18,53,0.0,6.22,8.6
30.58,40.71,1967,7,30,1,19,31.0,4.8,23.0
30.549,40.697,1967,7,30,1,31,2.0,5.6,14.7
30.58,40.7,1967,7,30,1,57,18.0,4.6,7.0
30.56,40.77,1967,7,30,10,25,10.0,4.6,22.0
30.46,40.75,1967,7,30,18,58,46.0,4.7,27.0
30.8,40.7,1967,7,30,19,5,48.0,4.6,10.0
27.62,40.6,1967,7,31,7,12,5.0,4.4,4.0
30.52,40.72,1967,8,1,0,13,34.0,4.8,26.0
30.4,40.4,1967,8,1,1,5,10.0,4.6,46.0
27.2,40.7,1967,8,2,2,29,7.0,4.4,10.0
30.46,40.67,1967,8,2,15,33,23.0,4.6,30.0
30.61,40.47,1967,8,8,4,36,34.0,4.4,39.0
34.31,41.06,1967,8,12,16,59,21.0,4.8,33.0
30.38,40.75,1967,8,14,1,45,56.0,4.6,23.0
30.27,40.68,1967,8,14,11,34,19.0,4.6,33.0
30.37,40.74,1967,8,14,20,9,25.0,4.9,25.0
30.3,40.86,1967,9,18,23,39,34.0,4.6,33.0
30.75,40.5,1968,1,31,13,9,58.0,4.8,10.0
30.53,40.83,1968,3,18,5,40,1.0,4.6,39.0
28.63,40.33,1968,5,6,9,38,47.0,4.5,4.0
40.21,39.81,1968,9,18,6,17,3.0,4.8,25.0
26.38,40.49,1968,9,28,0,53,28.0,4.6,28.0
40.2,39.8,1969,1,10,1,23,12.0,4.7,56.0
30.29,40.7,1969,2,12,8,43,5.0,4.7,30.0
40.609,39.315,1969,10,1,20,33,39.0,4.9,24.8
28.4,40.5,1969,12,24,8,41,32.0,5.0,10.0
34.0,40.66,1970,2,11,21,7,28.0,4.4,33.0
35.91,40.99,1970,7,10,13,30,0.0,4.8,37.0
35.983,40.909,1970,7,10,13,30,1.0,4.7,39.2
38.809,39.575,1970,9,3,5,32,9.0,5.5,9.3
28.5,40.2,1970,9,6,17,39,10.0,4.8,10.0
38.82,39.71,1970,9,21,11,54,20.0,4.4,15.0
38.935,39.816,1970,12,1,11,57,33.0,4.9,40.4
28.017,40.868,1971,5,1,13,45,27.0,4.8,6.9
39.9818,39.3286,1971,5,29,12,6,23.0,4.6,33.0
26.6652,40.6361,1971,8,22,9,26,56.1,4.6,0.0
28.9993,40.4014,1972,2,28,2,4,35.0,4.3,6.0
25.5858,40.42,1972,4,15,15,41,25.15,4.5,0.0
30.0415,40.2583,1972,6,21,5,6,16.0,4.3,33.0
40.5798,39.5431,1972,7,24,10,22,24.0,4.4,40.2
28.7267,40.4072,1972,11,10,7,40,41.31,4.8,0.0
27.3392,40.6463,1972,12,25,9,14,3.94,4.5,33.0
25.7412,40.2724,1972,12,30,15,21,4.74,4.5,14.0
28.3257,40.4208,1973,2,11,12,57,38.61,4.5,0.0
40.3202,39.9932,1973,3,19,12,20,7.0,4.6,33.0
29.3293,40.3123,1973,6,11,0,29,33.28,4.7,26.0
27.49,40.72,1973,6,27,11,50,23.0,4.7,5.0
27.54,40.62,1973,7,3,16,6,14.0,4.6,6.0
34.5975,40.9061,1973,8,1,19,56,9.0,4.4,19.0
32.41,40.7,1973,10,21,22,50,30.0,4.1,5.0
29.8804,40.364,1973,11,22,14,54,53.0,4.4,8.1
28.94,40.5,1974,1,18,10,57,14.0,4.1,18.0
33.8604,40.8308,1974,8,30,5,43,18.0,4.8,10.0
28.2905,40.7932,1974,9,13,12,10,2.0,5.0,7.6
39.1273,39.7576,1974,10,27,23,26,33.0,4.3,24.4
39.2717,39.958,1975,2,28,10,51,25.0,4.9,10.0
26.1443,40.362,1975,3,16,8,37,16.0,4.5,5.0
26.0294,40.4796,1975,3,17,2,6,39.0,4.7,2.0
25.9472,40.4797,1975,3,17,5,11,16.49,5.3,23.0
26.156,40.429,1975,3,17,5,17,49.0,5.0,10.8
26.118,40.475,1975,3,17,5,35,16.0,6.0,2.0
26.0059,40.3088,1975,3,19,9,26,23.36,4.5,0.0
26.147,40.422,1975,3,27,5,15,7.0,5.7,3.3
26.0107,40.1876,1975,3,27,5,23,31.15,4.6,0.0
26.239,40.376,1975,3,27,6,15,47.0,4.9,25.3
26.2707,40.3217,1975,3,27,7,51,21.41,4.5,0.0
26.0827,40.4847,1975,3,27,19,42,42.0,4.7,5.0
26.2405,40.4189,1975,3,27,21,16,4.73,4.5,1.0
26.308,40.295,1975,3,28,8,32,52.9,4.5,0.0
26.0336,40.4202,1975,3,29,2,6,5.03,5.5,33.0
26.3606,40.5674,1975,3,30,13,3,17.0,4.7,10.0
27.2786,40.3528,1975,4,18,16,43,23.41,4.5,5.0
26.2436,40.2796,1975,4,22,5,3,31.0,4.1,36.0
26.0428,40.3994,1975,4,23,1,8,8.0,4.6,20.0
25.9614,40.3708,1975,4,26,13,27,26.88,4.5,0.0
26.5054,40.472,1975,5,7,17,59,17.46,4.5,44.0
32.31,41.09,1975,6,4,2,57,5.0,4.1,10.0
36.058,40.878,1975,7,15,21,59,29.0,4.9,27.7
35.003,40.088,1975,10,26,7,5,6.0,4.8,35.9
27.2934,40.2569,1975,11,18,4,54,28.29,4.6,7.0
26.2604,40.387,1976,2,2,13,37,52.0,4.3,10.0
28.89,40.36,1976,5,29,22,42,8.0,4.1,6.0
30.478,40.726,1976,6,16,22,3,48.46,4.1,8.0
39.981,39.443,1976,10,2,10,5,59.0,4.9,7.0
30.457,40.72,1976,10,9,19,31,4.86,4.0,10.0
38.9338,40.1122,1976,10,19,23,8,51.0,4.6,39.0
40.0807,39.9008,1977,2,21,13,2,30.0,5.0,33.0
33.41,40.96,1977,10,5,5,34,46.8,5.82,33.0
29.1283,40.3256,1978,1,16,8,50,22.17,4.8,10.0
39.876,39.629,1978,2,15,3,17,35.0,4.9,7.0
40.0137,39.7593,1978,2,15,3,27,43.0,4.8,53.8
39.6677,39.6935,1978,2,15,5,47,53.0,4.6,41.8
29.5804,40.1978,1978,5,11,16,35,41.0,4.5,10.0
27.6835,40.7856,1978,6,15,0,26,45.0,4.8,27.9
27.683,40.845,1978,7,14,1,56,27.58,3.6,10.0
25.6258,40.4479,1978,9,16,22,31,10.7,4.5,24.0
33.2109,41.0733,1978,10,12,6,11,13.0,4.3,2.0
25.4609,40.6751,1978,10,21,5,12,19.17,4.5,10.0
34.96,40.536,1978,12,6,13,9,18.0,4.8,9.9
29.26,40.3,1979,1,11,20,50,39.0,4.5,10.0
39.6,39.91,1979,1,19,23,36,58.0,5.4,11.0
39.6379,39.9733,1979,1,20,3,46,5.0,4.6,42.1
33.5791,40.8868,1979,5,29,14,23,8.0,4.3,10.0
31.842,40.728,1979,6,28,21,22,14.0,4.9,26.7
33.73,40.82,1979,8,31,15,15,36.0,4.1,1.0
27.73,40.84,1979,10,8,3,54,52.0,4.1,2.0
30.8346,40.2654,1980,1,3,13,47,16.0,4.4,10.0
25.949,40.3775,1980,2,15,19,21,56.35,4.6,10.0
26.0354,40.4238,1980,2,20,22,55,23.0,4.4,10.0
40.1535,39.5849,1980,4,30,2,28,35.0,4.8,33.0
40.31,39.91,1980,10,18,3,14,10.0,5.5,37.0
28.12,40.813,1981,3,12,4,6,3.0,4.9,15.0
40.6729,39.9376,1981,4,13,19,41,45.0,4.6,52.1
28.0902,40.7945,1981,5,3,20,41,12.0,4.1,24.0
38.0486,40.0239,1981,6,23,17,3,55.0,4.7,33.0
29.582,40.787,1981,7,4,11,56,34.42,3.6,11.1
28.8565,40.2259,1981,7,21,9,43,37.0,4.3,1.2
28.8984,40.2651,1981,7,22,22,2,46.0,4.1,2.1
28.9364,40.2973,1981,7,23,16,35,28.0,4.7,6.8
28.2574,40.7091,1981,8,8,15,10,59.0,4.5,3.3
29.2109,40.466,1981,8,28,7,17,9.0,4.3,10.0
38.2298,40.1414,1981,9,9,7,46,17.0,4.7,25.1
36.003,40.6569,1981,12,7,21,17,4.0,4.7,10.0
29.844,40.7925,1982,4,16,8,1,29.0,4.1,10.0
27.3387,40.6021,1982,4,17,15,12,37.0,5.0,21.6
28.9825,40.4038,1982,5,20,2,42,49.0,4.1,10.0
29.0393,40.4507,1982,5,23,16,23,7.0,4.7,4.4
30.547,40.7501,1982,5,23,22,17,53.0,4.3,15.5
25.3056,40.3364,1982,6,20,13,57,11.24,4.6,20.0
28.9501,40.3752,1982,7,27,10,23,15.0,4.5,11.0
25.3807,40.3888,1982,9,11,10,54,6.77,4.6,6.0
38.7251,39.8618,1982,11,12,19,4,4.0,5.0,33.0
25.3495,40.3982,1982,11,14,9,8,33.2,4.6,25.0
27.563,40.809,1982,12,22,7,49,39.05,3.6,10.0
25.4362,40.4249,1982,12,30,16,16,22.98,4.5,10.0
40.3481,39.4474,1983,1,1,23,6,22.0,4.7,33.0
28.9369,40.2038,1983,2,1,13,54,11.0,5.0,3.1
40.417,39.877,1983,4,6,7,35,53.0,5.2,44.3
38.6788,39.9325,1983,4,20,10,0,52.0,4.8,10.0
27.23,40.33,1983,7,5,12,1,27.4,6.11,10.0
27.1643,40.264,1983,7,5,17,30,43.0,4.3,4.3
27.1842,40.2288,1983,7,8,2,55,1.0,4.7,17.0
25.32,40.27,1983,10,10,10,16,58.2,5.39,10.0
25.76,40.18,1983,10,10,10,17,2.0,5.4,15.0
25.2771,40.2462,1983,10,11,4,43,44.89,4.8,42.0
25.2911,40.2702,1983,10,11,5,8,21.6,4.7,10.0
25.2803,40.2531,1983,10,11,5,14,2.95,4.5,10.0
30.479,40.69,1983,11,16,4,45,22.44,3.9,2.5
39.52,39.78,1983,11,18,1,15,32.9,5.44,10.0
39.2246,39.939,1983,11,18,2,7,26.0,4.8,33.0
39.308,39.841,1983,11,20,16,4,37.0,4.8,51.0
25.4899,40.4273,1983,12,9,2,55,23.04,4.7,10.0
30.3814,40.7286,1983,12,28,20,19,32.0,4.9,6.6
38.5316,40.4545,1984,2,19,2,11,6.0,4.1,3.0
29.341,40.438,1984,3,24,12,1,40.28,4.0,10.0
36.6322,40.5204,1984,4,6,22,13,30.0,4.3,12.9
39.4347,39.8168,1984,5,15,17,41,36.0,4.8,10.0
30.2693,40.6741,1984,5,26,8,39,36.0,4.3,5.9
26.001,40.418,1984,7,29,1,58,43.0,5.2,12.1
25.9146,40.4454,1984,7,29,1,58,43.31,5.2,21.0
26.0,40.382,1984,7,29,2,21,13.0,5.0,15.0
25.928,40.426,1984,7,29,9,48,23.82,4.9,27.0
26.0204,40.4365,1984,7,29,12,17,37.0,4.3,2.4
25.9934,40.3857,1984,7,29,22,22,26.0,4.4,10.0
30.0009,40.7375,1984,8,27,6,32,14.0,4.1,26.5
38.6233,39.5028,1984,9,11,1,43,11.0,4.5,10.0
27.2282,40.3275,1984,11,14,14,24,25.0,4.3,5.7
25.0963,40.285,1985,1,5,22,20,47.83,4.5,5.0
29.009,40.7036,1985,4,11,13,11,46.0,4.4,6.0
27.3803,40.7354,1985,4,27,12,33,7.0,4.6,9.1
27.8355,40.8584,1985,6,4,1,5,58.0,4.3,10.0
